name,category,node_count,classes,reachable_classes,tree_dag,tree_tree,sharing_dag,sharing_tree,chosen_dag,sharing_changed_term,sharing_gain,dag_delta_pct,treeopt_dag,exact_status,exact_dag,gap_closed_frac,tree_arm_ns,scoped_ns
glyph32:U+002B,glyph,247,2053,241,319,578,319,578,319,true,0,0.0000,319,UNSOLVED,319,NaN,299708,634916
glyph32:U+002C,glyph,1694,4675,1365,2779,12714,2793,16466,2779,true,0,0.0000,2779,UNSOLVED,2779,NaN,1149250,2635000
glyph32:U+002D,glyph,119,1034,113,133,232,133,232,133,false,0,0.0000,133,OPTIMAL,133,NaN,109375,239416
glyph32:U+002E,glyph,1855,4675,1352,2881,14371,2903,17453,2881,true,0,0.0000,2881,UNSOLVED,2881,NaN,1180042,2681292
glyph32:U+002F,glyph,127,3444,446,166,266,166,266,166,true,0,0.0000,172,UNSOLVED,166,NaN,538542,1169625
glyph32:U+0030,glyph,5402,5000,2903,9970,72707,9907,99600,9907,true,63,-0.6319,9926,UNSOLVED,9907,NaN,1777083,3955958
glyph32:U+0031,glyph,1452,4416,1323,2520,9316,2526,10876,2520,true,0,0.0000,2520,UNSOLVED,2520,NaN,1116083,2543708
glyph32:U+0032,glyph,3891,4945,2533,6980,50145,7068,65521,6980,true,0,0.0000,6967,UNSOLVED,6967,NaN,1649209,3676709
glyph32:U+0033,glyph,6993,5000,3209,12797,136409,12807,149651,12797,true,0,0.0000,12797,UNSOLVED,12797,NaN,1947000,4209875
glyph32:U+0034,glyph,1637,4552,1336,2751,10916,2759,12996,2751,true,0,0.0000,2751,UNSOLVED,2751,NaN,1155750,2604458
glyph32:U+0035,glyph,4546,4981,2683,8145,54720,8224,83672,8145,true,0,0.0000,8105,UNSOLVED,8105,NaN,1725250,3616208
glyph32:U+0036,glyph,8067,5000,3663,15249,245969,15249,245969,15249,false,0,0.0000,15249,UNSOLVED,15249,NaN,2165084,4694541
glyph32:U+0037,glyph,191,2791,374,288,442,296,450,288,true,0,0.0000,288,UNSOLVED,288,NaN,445291,948292
glyph32:U+0038,glyph,9774,5000,4420,18500,299657,18500,299657,18500,false,0,0.0000,18500,UNSOLVED,18500,NaN,2363042,5064459
glyph32:U+0039,glyph,8267,5000,3774,15698,255187,15698,255187,15698,false,0,0.0000,15698,UNSOLVED,15698,NaN,2169667,4684709
glyph32:U+003A,glyph,3655,4854,2312,6228,43501,6173,67407,6173,true,55,-0.8831,6072,UNSOLVED,6072,NaN,1614166,3657458
glyph32:U+003B,glyph,3494,4855,2307,6080,42403,5991,64891,5991,true,89,-1.4638,5896,UNSOLVED,5896,NaN,1601250,3604541
glyph32:U+003C,glyph,295,2697,415,514,790,580,954,514,true,0,0.0000,514,UNSOLVED,514,NaN,454875,988000
