rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
dup:124:interleave:1,124,6333431113f09bde,train_b00_f03_00053,train,blitz,8,204800,260,6,11507,31,99,quiesced,260
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,25,25,2,1836,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,50,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,100,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,200,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,400,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,800,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,1600,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,3200,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,6400,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,12800,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,25600,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,51200,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,102400,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b05_f01_00469,train,blitz,8,204800,45,3,3324,13,6,quiesced,45
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,25,25,2,2198,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,50,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,100,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,200,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,400,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,800,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,1600,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,3200,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,6400,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,12800,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,25600,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,51200,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,102400,43,3,3686,11,78,quiesced,43
