rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,cost,ended,ended_at_apps
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,25,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,50,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,100,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,200,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,400,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,800,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,1600,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,3200,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,6400,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,12800,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,25600,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,51200,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,102400,14,27,quiesced,14
base,62,e99af8402beaff5d,dev_b01_f04_00068,dev,blitz,10,204800,14,27,quiesced,14
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,25,27,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,50,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,100,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,200,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,400,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,800,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,1600,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,3200,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,6400,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,12800,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,25600,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,51200,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,102400,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b00_f01_00026,train,blitz,10,204800,41,73,quiesced,41
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,25,29,185,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,50,51,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,100,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,200,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,400,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,800,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,1600,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,3200,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,6400,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,12800,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,25600,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,51200,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,102400,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b02_f03_00164,train,blitz,10,204800,85,180,quiesced,85
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,25,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,50,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,100,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,200,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,400,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,800,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,1600,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,3200,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,6400,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,12800,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,25600,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,51200,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,102400,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b04_f05_00413,train,blitz,10,204800,14,25,quiesced,14
base,62,e99af8402beaff5d,train_b08_f07_00777,train,blitz,10,25,12,209,quiesced,12
base,62,e99af8402beaff5d,train_b08_f07_00777,train,blitz,10,50,12,209,quiesced,12
base,62,e99af8402beaff5d,train_b08_f07_00777,train,blitz,10,100,12,209,quiesced,12
base,62,e99af8402beaff5d,train_b08_f07_00777,train,blitz,10,200,12,209,quiesced,12
base,62,e99af8402beaff5d,train_b08_f07_00777,train,blitz,10,400,12,209,quiesced,12
