name,category,budget,node_count,classes,reachable_classes,free_classes,branch_product_log10,stop,greedy_dag,greedy_tree,greedy_reported,treeopt_dag,treeopt_tree,exact_status,exact_dag,exact_lower_bound,exact_expansions,exact_ms,ratio,loss_dp,loss_sharing,cycle_priced_used_by_exact,cycle_priced_total,reported_matches_returned,reported_delta,dominated_candidates,dp_loss_frac,objective_miss_frac
glyph32:U+0022,glyph,production,199,2886,418,215,119.405,ClassCap,310,501,501,310,501,UNSOLVED,310,72,15001600,3523.0,NaN,0,0,0,0,true,0,938,0.000000,0.000000
glyph32:U+0023,glyph,production,615,4309,819,327,179.787,ClassCap,1014,1771,18446744073709551615,1014,1771,UNSOLVED,1014,93,8794112,4001.4,NaN,0,0,106,106,false,-1772,1304,0.000000,0.000000
glyph32:U+0024,glyph,production,7185,5000,3246,222,67.357,ClassCap,13131,138737,18446744073709551615,13131,138737,UNSOLVED,13131,324,10303488,4000.8,NaN,0,0,10,10,false,-138738,1506,0.000000,0.000000
glyph32:U+0025,glyph,production,7327,5000,3186,279,91.684,ClassCap,12640,141308,18446744073709551615,12635,140968,UNSOLVED,12635,288,9299968,4000.8,NaN,5,0,10,10,false,-141309,1469,0.000396,0.002406
glyph32:U+0026,glyph,production,9420,5000,4308,255,76.763,ClassCap,17979,288778,288778,17979,288778,UNSOLVED,17979,336,12480512,4000.1,NaN,0,0,0,0,true,0,433,0.000000,0.000000
glyph32:U+0027,glyph,production,127,3569,580,240,155.217,ClassCap,171,270,4611686018427388100,171,270,UNSOLVED,171,63,14600192,4000.2,NaN,0,0,46,46,false,4611686018427387830,1028,0.000000,0.000000
glyph32:U+0028,glyph,production,1855,4719,1379,378,198.932,ClassCap,3039,14773,14773,3039,14773,UNSOLVED,3039,150,4608000,4001.5,NaN,0,0,3,3,true,0,2015,0.000000,0.000000
glyph32:U+0029,glyph,production,1855,4718,1378,377,198.506,ClassCap,3039,14773,14773,3039,14773,UNSOLVED,3039,150,5271552,4001.2,NaN,0,0,3,3,true,0,2018,0.000000,0.000000
glyph32:U+002A,glyph,production,559,4479,995,364,190.451,ClassCap,1143,1676,1676,1143,1676,UNSOLVED,1143,93,13645824,4000.3,NaN,0,0,3,3,true,0,1451,0.000000,0.000000
glyph32:U+002B,glyph,production,247,2053,242,109,65.791,ClassCap,319,578,13835058055282164125,319,578,UNSOLVED,319,60,5888000,4001.8,NaN,0,0,45,45,false,-4611686018427388069,748,0.000000,0.000000
